"","player","pos","age","tm","g","gs","mp","fg","fga","fg_pct","three_p","three_pa","three_p_pct","two_p","two_pa","two_p_pct","efg_pct","ft","fta","ft_pct","orb","drb","trb","ast","stl","blk","tov","pf","pts","start_year","end_year"
"1","Jeff Adrien","PF",24,"GSW",23,0,196,23,54,0.426,0,0,NA,23,54,0.426,0.426,11,19,0.579,23,35,58,10,4,5,9,28,57,2010,2011
"2","Arron Afflalo","SG",25,"DEN",69,69,2324,312,627,0.498,105,248,0.423,207,379,0.546,0.581,138,163,0.847,45,206,251,168,34,31,71,153,867,2010,2011
"3","Maurice Ager","SG",26,"MIN",4,0,29,6,11,0.545,3,4,0.75,3,7,0.429,0.682,0,0,NA,0,2,2,1,1,0,4,4,15,2010,2011
"4","Alexis Ajinca","C",22,"TOT",34,2,340,59,133,0.444,12,34,0.353,47,99,0.475,0.489,13,18,0.722,17,61,78,10,11,19,18,73,143,2010,2011
"5","Alexis Ajinca","C",22,"DAL",10,2,75,12,32,0.375,3,7,0.429,9,25,0.36,0.422,2,3,0.667,5,12,17,2,3,5,1,13,29,2010,2011
"6","Alexis Ajinca","C",22,"TOR",24,0,265,47,101,0.465,9,27,0.333,38,74,0.514,0.51,11,15,0.733,12,49,61,8,8,14,17,60,114,2010,2011
"7","Solomon Alabi","C",22,"TOR",12,0,59,3,15,0.2,0,0,NA,3,15,0.2,0.2,0,2,0,7,7,14,2,2,2,3,5,6,2010,2011
"8","Cole Aldrich","C",22,"OKC",18,0,142,8,15,0.533,0,0,NA,8,15,0.533,0.533,2,4,0.5,13,22,35,4,5,7,8,30,18,2010,2011
"9","LaMarcus Aldridge","PF",25,"POR",81,81,3211,707,1415,0.5,4,23,0.174,703,1392,0.505,0.501,351,444,0.791,278,431,709,170,82,94,153,220,1769,2010,2011
"10","Malik Allen","PF",32,"ORL",18,0,178,11,31,0.355,0,0,NA,11,31,0.355,0.355,1,2,0.5,12,20,32,4,1,4,3,30,23,2010,2011
"11","Ray Allen*","SG",35,"BOS",80,80,2890,480,978,0.491,168,378,0.444,312,600,0.52,0.577,193,219,0.881,51,223,274,219,77,16,117,147,1321,2010,2011
"12","Tony Allen","SG",29,"MEM",72,31,1494,251,492,0.51,4,23,0.174,247,469,0.527,0.514,137,182,0.753,70,123,193,104,129,44,86,161,643,2010,2011
"13","Al-Farouq Aminu","SF",20,"LAC",81,14,1452,160,406,0.394,45,143,0.315,115,263,0.437,0.45,92,119,0.773,75,192,267,60,59,25,103,121,457,2010,2011
"14","Lou Amundson","PF",28,"GSW",46,7,691,83,183,0.454,0,0,NA,83,183,0.454,0.454,34,87,0.391,81,104,185,17,14,33,24,87,200,2010,2011
"15","Chris Andersen","C",32,"DEN",45,0,732,82,137,0.599,0,1,0,82,136,0.603,0.599,86,135,0.637,75,144,219,20,23,58,25,79,250,2010,2011
"16","David Andersen","PF",30,"TOT",40,0,373,56,121,0.463,8,23,0.348,48,98,0.49,0.496,14,22,0.636,20,64,84,13,5,9,22,40,134,2010,2011
"17","David Andersen","PF",30,"TOR",11,0,150,23,47,0.489,3,10,0.3,20,37,0.541,0.521,7,7,1,8,26,34,7,3,3,8,11,56,2010,2011
"18","David Andersen","PF",30,"NOH",29,0,223,33,74,0.446,5,13,0.385,28,61,0.459,0.48,7,15,0.467,12,38,50,6,2,6,14,29,78,2010,2011
"19","James Anderson","SF",21,"SAS",26,2,286,31,81,0.383,18,46,0.391,13,35,0.371,0.494,14,18,0.778,2,21,23,18,3,6,13,24,94,2010,2011
"20","Ryan Anderson","PF",22,"ORL",64,14,1424,226,525,0.43,134,341,0.393,92,184,0.5,0.558,95,117,0.812,129,226,355,52,30,38,49,137,681,2010,2011
"21","Carmelo Anthony","SF",26,"TOT",77,77,2751,684,1503,0.455,95,251,0.378,589,1252,0.47,0.487,507,605,0.838,118,445,563,221,68,46,206,224,1970,2010,2011
"22","Carmelo Anthony","SF",26,"DEN",50,50,1774,437,967,0.452,42,126,0.333,395,841,0.47,0.474,343,417,0.823,77,305,382,140,43,31,142,134,1259,2010,2011
"23","Carmelo Anthony","SF",26,"NYK",27,27,977,247,536,0.461,53,125,0.424,194,411,0.472,0.51,164,188,0.872,41,140,181,81,25,15,64,90,711,2010,2011
"24","Joel Anthony","C",28,"MIA",75,11,1463,53,99,0.535,0,0,NA,53,99,0.535,0.535,47,73,0.644,104,162,266,24,10,93,36,194,153,2010,2011
"25","Gilbert Arenas","PG",29,"TOT",70,16,1796,269,734,0.366,97,327,0.297,172,407,0.423,0.433,120,153,0.784,22,167,189,274,74,21,177,188,755,2010,2011
"26","Gilbert Arenas","PG",29,"WAS",21,14,726,130,330,0.394,47,145,0.324,83,185,0.449,0.465,56,67,0.836,6,64,70,117,30,12,71,76,363,2010,2011
"27","Gilbert Arenas","PG",29,"ORL",49,2,1070,139,404,0.344,50,182,0.275,89,222,0.401,0.406,64,86,0.744,16,103,119,157,44,9,106,112,392,2010,2011
"28","Trevor Ariza","SF",25,"NOH",75,75,2600,303,762,0.398,82,271,0.303,221,491,0.45,0.451,138,197,0.701,61,347,408,162,120,31,118,180,826,2010,2011
"29","Hilton Armstrong","C",26,"TOT",53,2,488,37,76,0.487,2,4,0.5,35,72,0.486,0.5,16,33,0.485,42,89,131,14,18,21,28,84,92,2010,2011
"30","Hilton Armstrong","C",26,"WAS",41,2,412,31,64,0.484,1,3,0.333,30,61,0.492,0.492,14,23,0.609,39,75,114,10,15,16,25,75,77,2010,2011
"31","Hilton Armstrong","C",26,"ATL",12,0,76,6,12,0.5,1,1,1,5,11,0.455,0.542,2,10,0.2,3,14,17,4,3,5,3,9,15,2010,2011
"32","Carlos Arroyo","PG",31,"TOT",64,43,1185,120,273,0.44,31,69,0.449,89,204,0.436,0.496,39,47,0.83,20,83,103,125,21,1,60,71,310,2010,2011
"33","Carlos Arroyo","PG",31,"MIA",49,42,995,109,238,0.458,28,64,0.438,81,174,0.466,0.517,28,35,0.8,13,67,80,100,14,1,43,60,274,2010,2011
"34","Carlos Arroyo","PG",31,"BOS",15,1,190,11,35,0.314,3,5,0.6,8,30,0.267,0.357,11,12,0.917,7,16,23,25,7,0,17,11,36,2010,2011
"35","Darrell Arthur","PF",22,"MEM",80,9,1609,310,624,0.497,0,6,0,310,618,0.502,0.497,109,134,0.813,115,227,342,53,52,63,88,228,729,2010,2011
"36","Omer Asik","C",24,"CHI",82,0,989,78,141,0.553,0,0,NA,78,141,0.553,0.553,73,145,0.503,112,194,306,32,20,56,64,153,229,2010,2011
"37","D.J. Augustin","PG",23,"CHA",82,82,2757,399,958,0.416,111,333,0.333,288,625,0.461,0.474,269,297,0.906,38,187,225,498,54,3,155,152,1178,2010,2011
"38","Luke Babbitt","SF",21,"POR",24,0,137,15,55,0.273,3,16,0.188,12,39,0.308,0.3,3,9,0.333,6,24,30,6,2,2,8,15,36,2010,2011
"39","Renaldo Balkman","SF",26,"TOT",8,0,62,6,13,0.462,1,2,0.5,5,11,0.455,0.5,3,4,0.75,2,5,7,2,4,2,1,15,16,2010,2011
"40","Renaldo Balkman","SF",26,"DEN",5,0,44,5,9,0.556,0,0,NA,5,9,0.556,0.556,3,4,0.75,1,3,4,2,3,2,0,11,13,2010,2011
"41","Renaldo Balkman","SF",26,"NYK",3,0,18,1,4,0.25,1,2,0.5,0,2,0,0.375,0,0,NA,1,2,3,0,1,0,1,4,3,2010,2011
"42","Marcus Banks","PG",29,"TOR",3,0,22,0,2,0,0,0,NA,0,2,0,0,6,8,0.75,0,1,1,3,1,0,2,4,6,2010,2011
"43","Leandro Barbosa","SG",28,"TOR",58,0,1395,294,653,0.45,72,213,0.338,222,440,0.505,0.505,109,137,0.796,14,85,99,119,50,6,84,112,769,2010,2011
"44","J.J. Barea","PG",26,"DAL",81,2,1669,285,649,0.439,66,189,0.349,219,460,0.476,0.49,133,157,0.847,29,130,159,317,30,1,136,136,769,2010,2011
"45","Andrea Bargnani","C",25,"TOR",66,66,2353,525,1173,0.448,77,223,0.345,448,950,0.472,0.48,287,350,0.82,74,269,343,119,34,46,152,160,1414,2010,2011
"46","Matt Barnes","SF",30,"LAL",53,0,1020,131,279,0.47,34,107,0.318,97,172,0.564,0.53,60,77,0.779,73,155,228,71,39,22,58,127,356,2010,2011
"47","Earl Barron","C",29,"TOT",21,7,305,32,99,0.323,0,0,NA,32,99,0.323,0.323,15,24,0.625,32,44,76,11,8,6,16,46,79,2010,2011
"48","Earl Barron","C",29,"PHO",12,6,183,12,51,0.235,0,0,NA,12,51,0.235,0.235,12,20,0.6,16,24,40,4,6,4,11,32,36,2010,2011
"49","Earl Barron","C",29,"MIL",7,0,85,17,37,0.459,0,0,NA,17,37,0.459,0.459,2,2,1,12,10,22,4,2,2,2,10,36,2010,2011
"50","Earl Barron","C",29,"POR",2,1,37,3,11,0.273,0,0,NA,3,11,0.273,0.273,1,2,0.5,4,10,14,3,0,0,3,4,7,2010,2011
"51","Brandon Bass","PF",25,"ORL",76,51,1980,332,645,0.515,0,2,0,332,643,0.516,0.515,190,233,0.815,134,290,424,57,27,52,97,159,854,2010,2011
"52","Tony Battie","C",34,"PHI",38,0,377,45,96,0.469,2,3,0.667,43,93,0.462,0.479,8,14,0.571,17,82,99,12,5,15,12,59,100,2010,2011
"53","Shane Battier","SF",32,"TOT",82,59,2375,229,509,0.45,102,267,0.382,127,242,0.525,0.55,64,93,0.688,90,283,373,185,69,81,79,158,624,2010,2011
"54","Shane Battier","SF",32,"HOU",59,59,1818,186,408,0.456,88,225,0.391,98,183,0.536,0.564,49,76,0.645,58,223,281,153,53,71,63,127,509,2010,2011
"55","Shane Battier","SF",32,"MEM",23,0,557,43,101,0.426,14,42,0.333,29,59,0.492,0.495,15,17,0.882,32,60,92,32,16,10,16,31,115,2010,2011
"56","Nicolas Batum","SF",22,"POR",80,67,2522,367,807,0.455,118,342,0.345,249,465,0.535,0.528,138,164,0.841,109,252,361,123,68,49,83,194,990,2010,2011
"57","Jerryd Bayless","PG",22,"TOT",71,14,1496,218,517,0.422,49,146,0.336,169,371,0.456,0.469,166,206,0.806,26,139,165,266,38,5,127,149,651,2010,2011
"58","Jerryd Bayless","PG",22,"NOH",11,0,149,17,49,0.347,3,14,0.214,14,35,0.4,0.378,13,17,0.765,2,13,15,28,2,1,17,16,50,2010,2011
"59","Jerryd Bayless","PG",22,"TOR",60,14,1347,201,468,0.429,46,132,0.348,155,336,0.461,0.479,153,189,0.81,24,126,150,238,36,4,110,133,601,2010,2011
"60","Michael Beasley","SF",22,"MIN",73,73,2361,561,1246,0.45,60,164,0.366,501,1082,0.463,0.474,219,291,0.753,118,291,409,158,54,52,195,222,1401,2010,2011
"61","Rodrigue Beaubois","PG",22,"DAL",28,26,496,94,223,0.422,25,83,0.301,69,140,0.493,0.478,23,30,0.767,7,45,52,64,20,8,47,76,236,2010,2011
"62","Marco Belinelli","SG",24,"NOH",80,69,1957,302,691,0.437,134,324,0.414,168,367,0.458,0.534,98,125,0.784,17,134,151,92,38,6,77,146,836,2010,2011
"63","Charlie Bell","SG",31,"GSW",19,0,171,12,43,0.279,6,21,0.286,6,22,0.273,0.349,2,4,0.5,6,12,18,13,6,1,6,13,32,2010,2011
"64","Raja Bell","SG",34,"UTA",68,63,2097,191,467,0.409,68,193,0.352,123,274,0.449,0.482,91,102,0.892,31,145,176,118,56,14,63,169,541,2010,2011
"65","Mike Bibby","PG",32,"TOT",80,68,2285,248,576,0.431,153,348,0.44,95,228,0.417,0.563,39,62,0.629,17,178,195,265,50,9,101,175,688,2010,2011
"66","Mike Bibby","PG",32,"ATL",56,56,1674,192,441,0.435,113,256,0.441,79,185,0.427,0.563,29,46,0.63,15,128,143,202,38,6,68,125,526,2010,2011
"67","Mike Bibby","PG",32,"WAS",2,0,29,1,9,0.111,0,4,0,1,5,0.2,0.111,0,0,NA,0,3,3,8,1,0,1,3,2,2010,2011
"68","Mike Bibby","PG",32,"MIA",22,12,582,55,126,0.437,40,88,0.455,15,38,0.395,0.595,10,16,0.625,2,47,49,55,11,3,32,47,160,2010,2011
"69","Andris Biedrins","C",24,"GSW",59,55,1397,142,266,0.534,0,0,NA,142,266,0.534,0.534,10,31,0.323,145,281,426,60,52,52,57,198,294,2010,2011
"70","Chauncey Billups","PG",34,"TOT",72,72,2310,339,794,0.427,146,363,0.402,193,431,0.448,0.519,384,419,0.916,25,165,190,387,71,14,177,146,1208,2010,2011
"71","Chauncey Billups","PG",34,"DEN",51,51,1646,235,536,0.438,105,238,0.441,130,298,0.436,0.536,265,287,0.923,12,113,125,271,52,12,129,94,840,2010,2011
